,Año,Actividad,Capital Federal,Gran Buenos Aires,Resto Bs As,Catamarca,Cordoba,Corrientes,Chaco,Chubut,Entre Rios,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquen,Rio Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago del Estero,Tierra del Fuego,Tucuman
3074,2021-03-01,"Cereales, oleaginosas y forrajeras","39,694,822","6,454,982","32,641,672","124,518","27,458,417","168,734","2,749,685","148,711","3,345,842","2,505","235,197","1,662,070","45,969","553,931","53,644","21,626","70,719","2,913,418","49,483","368,126","17,528","52,162,832","306,239",34,"1,778,228"
3075,2021-03-01,"Hortalizas, leg., flores y plantas ornam.","1,882,528","372,395","2,975,848","273,048","2,525,849","29,401","13,834","1,727","52,038","7,029","176,409","18,801","10,617","476,534","5,408","6,992","36,345","1,607,392","586,202",105,-,"855,157","7,760",55,"247,255"
3076,2021-03-01,Frutas -exc. vid para vinificar- y nueces,"2,271,562","232,077","126,446","4,995","214,458","53,580","45,216","99,582","387,068",474,"15,371",47,"103,320","624,264","5,843","225,091","1,324,187","1,432,334","68,994",468,"3,927","34,069","2,394",397,"3,626,175"
3077,2021-03-01,Cultivos industriales (9),"19,089,844","211,867","7,431,308","9,350","7,954,694","338,592","1,523,414","37,254","1,455,089","13,735","1,111,599","1,444,113","797,517","2,945,048","532,987","12,206","81,114","1,026,122","544,671","76,015","15,610","3,774,858","253,199","1,880","1,221,866"
3078,2021-03-01,Plantas para la obtención de fibras,"566,695","21,783","2,514",-,"1,425,132",956,"1,200,904",59,907,"1,545",-,-,-,"1,516","1,068","1,341",326,142,552,182,124,"20,545","70,008","1,274",518
3079,2021-03-01,Plantas sacaríferas,"270,116","10,554","1,245",21,299,79,763,-,26,-,"357,039",-,15,528,149,26,-,"90,968",412,-,-,"16,347",444,-,"702,260"
3080,2021-03-01,Vid para vinificar,"2,648,193","4,846","1,802","1,530","3,990",-,-,-,"1,832",-,1,-,"333,386","2,751,391",-,"7,930","23,208","51,023","535,601",272,84,"4,388",145,-,"2,924"
3081,2021-03-01,Plantas para preparar bebidas,"163,272",390,297,142,"21,879","3,733",-,-,122,-,-,-,-,-,"389,649",-,-,-,-,-,-,"1,268",-,-,-
3082,2021-03-01,Tabaco,"238,374","59,020","2,017",415,698,"3,554",256,97,"1,162",-,"738,223",-,246,266,"19,552",-,2,"324,945",110,-,-,"1,851",-,-,"8,454"
3083,2021-03-01,Especias y plantas arom. y medicinales,"3,406","12,781","88,294",21,"4,759",74,33,-,626,-,309,-,248,22,"8,991",73,286,631,-,-,-,"3,195",1,-,21
3084,2021-03-01,Otros cultivos industriales,"15,199,790","102,494","7,335,140","7,220","6,497,935","330,196","321,458","37,098","1,450,414","12,190","16,027","1,444,113","463,621","191,325","113,579","2,835","57,293","558,413","7,996","75,561","15,402","3,727,265","182,600",606,"507,688"
3085,2021-03-01,Producción de semillas (10),"534,017","2,720,492","1,799,644",27,"281,349",980,"2,450","3,227","4,022",-,-,290,-,"12,066",677,386,619,"3,759","3,074",260,250,"238,843",2,-,"46,435"
3086,2021-03-01,Servicios agrícolas,"11,099,119","619,861","5,500,617","3,023","4,849,371","209,293","593,121","16,892","378,555","32,736","27,520","563,383",555,"100,694","209,876","211,733","94,518","493,160","18,452","90,094","7,533","2,451,797","155,359","11,462","803,631"
3087,2021-03-01,Cría de animales y servicios pecuarios (11),"56,057,159","10,799,509","22,921,748","8,336","13,598,514","2,764,150","1,066,702","260,893","3,485,733","177,113","46,556","3,039,881","1,503","3,593,896","106,075","146,572","407,101","898,804","335,761","4,385,120","143,354","10,282,570","63,782","10,361","795,385"
3088,2021-03-01,Cría de ganado (12),"52,368,567","10,658,212","21,609,292","6,584","12,566,593","2,741,416","1,047,171","245,361","2,439,381","176,812","20,159","2,890,720","1,011","3,494,889","101,841","137,273","396,062","892,614","312,227","4,349,920","141,445","9,680,803","40,492","10,115","714,106"
3089,2021-03-01,Bovino (13),"29,677,295","5,671,081","14,679,744","2,768","5,682,094","2,234,512","987,357","72,263","1,762,769","176,317","18,052","2,764,440",654,"258,307","78,927","84,698","347,243","815,427","31,383","1,280,284",373,"4,853,583","29,225","1,862","166,047"
3090,2021-03-01,Ovino (14),"996,060","89,611","52,921",-,"3,485","2,254",-,"82,550","3,369",17,-,"1,006",222,"4,000",-,"4,340","6,352",9,-,517,"120,416","24,692",-,"6,482",-
3091,2021-03-01,Porcino (15),"567,364","118,593","453,279","3,178","667,493","10,389","28,409","5,387","118,308",-,"1,370",92,-,"1,735","16,861",767,277,"14,934",636,"3,362",81,"231,086",920,634,29
3092,2021-03-01,Equino (16),"11,958","5,714","49,051",-,"13,714",10,-,67,623,-,16,66,-,-,-,17,12,40,-,-,-,"1,257",32,938,61
3093,2021-03-01,Caprino (17),"4,269",156,"10,127",-,"11,442",30,-,92,"1,371",-,104,-,-,22,-,74,533,-,21,-,"19,335",505,-,-,-
